food name,calcium (mg),calories (kcal),carbohydrates (g),fats (g),fibre (g),folate (µg),free sugar (g),iron (mg),protein (g),sodium (mg),vitamin c (mg),Category
Ribeye Steak (Grilled),12.0,291.0,0.0,22.0,0.0,,0.0,2.6,24.0,54.0,,piece_based
Chicken Breast (Roasted),15.0,165.0,0.0,3.6,0.0,,0.0,1.0,31.0,74.0,,piece_based
Salmon Fillet (Baked),12.0,208.0,0.0,13.0,0.0,,0.0,0.3,20.0,59.0,,piece_based
Classic Cheeseburger,160.0,263.0,24.0,12.8,1.2,,4.5,2.3,13.5,520.0,,piece_based
Pepperoni Pizza,180.0,276.0,32.4,12.5,2.2,,2.8,2.4,11.2,620.0,,piece_based
Spaghetti Bolognese,25.0,155.0,18.5,5.4,1.5,,2.1,1.8,8.2,340.0,,piece_based
Mac and Cheese,145.0,164.0,20.0,6.5,0.5,,1.2,0.6,7.0,380.0,,piece_based
Caesar Salad,150.0,190.0,8.2,15.1,1.8,,1.5,0.8,6.5,540.0,,bowl_based
Beef Lasagna,124.0,168.0,13.5,8.2,1.5,,2.1,1.6,9.4,410.0,,piece_based
Clam Chowder,72.0,122.0,12.4,5.8,0.8,,2.4,1.3,6.2,580.0,,piece_based
French Fries,18.0,312.0,41.0,15.0,3.8,,0.3,0.8,3.4,210.0,,piece_based
Greek Yogurt (Plain),110.0,59.0,3.6,0.4,0.0,,3.2,0.1,10.0,36.0,,piece_based
Pancakes (with Syrup),102.0,227.0,45.0,10.0,1.1,,18.0,1.5,6.0,430.0,,piece_based
Eggs Benedict,85.0,225.0,14.2,15.4,0.4,,1.2,1.8,10.5,640.0,,piece_based
Turkey Club Sandwich,45.0,210.0,18.5,9.8,1.8,,2.4,1.4,13.2,680.0,,piece_based
Fish and Chips,15.0,232.0,21.0,10.2,1.2,,0.5,0.9,14.5,450.0,,piece_based
Blueberry Muffin,55.0,377.0,55.0,16.0,1.5,,28.0,1.2,4.5,380.0,,piece_based
New York Cheesecake,65.0,321.0,26.0,22.5,0.4,,18.5,0.4,5.5,280.0,,piece_based
Cottage Pie,22.0,145.0,12.0,7.2,1.8,,1.5,1.5,9.5,390.0,,piece_based
Grilled Cheese Sandwich,320.0,320.0,31.0,18.0,1.5,,1.8,1.2,12.0,610.0,,piece_based
"Beef Tenderloin, roasted",12.0,215.0,0.0,11.2,0.0,,0.0,2.8,28.1,54.0,,piece_based
"Pork Chops, grilled",9.0,231.0,0.0,14.2,0.0,,0.0,0.9,26.5,58.0,,piece_based
"Lamb Loin, roasted",18.0,216.0,0.0,12.1,0.0,,0.0,2.4,25.4,65.0,,piece_based
"Turkey Breast, roasted",14.0,135.0,0.0,0.7,0.0,,0.0,1.1,30.1,52.0,,piece_based
"Duck Breast, seared",11.0,201.0,0.0,11.2,0.0,,0.0,4.3,23.5,62.0,,piece_based
"Atlantic Cod, baked",16.0,105.0,0.0,0.9,0.0,,0.0,0.4,22.8,78.0,,piece_based
"Shrimp, boiled",70.0,99.0,0.2,0.3,0.0,,0.0,0.5,24.0,111.0,,piece_based
"Bacon, crispy fried",11.0,541.0,1.4,42.0,0.0,,0.0,1.2,37.0,1712.0,,piece_based
"Salami, beef",15.0,336.0,1.2,30.2,0.0,,0.5,1.6,14.5,1240.0,,piece_based
"Chicken Thigh, roasted",12.0,209.0,0.0,11.4,0.0,,0.0,1.3,24.5,82.0,,piece_based
"Beef Burger, single patty",120.0,254.0,24.1,11.5,1.2,,4.1,2.1,13.2,480.0,,piece_based
Pepperoni Pizza,185.0,276.0,32.5,12.6,2.2,,2.8,2.4,11.4,620.0,,piece_based
"French Fries, salted",18.0,312.0,41.1,15.0,3.8,,0.3,0.8,3.4,210.0,,piece_based
Chicken Nuggets,15.0,296.0,18.2,18.2,1.2,,0.5,1.1,15.1,560.0,,piece_based
Beef Lasagna,115.0,135.0,12.4,5.7,0.8,,2.1,1.4,9.2,320.0,,piece_based
Caesar Salad with Chicken,145.0,175.0,6.5,10.8,1.4,,1.4,0.9,14.2,520.0,,bowl_based
"Hot Dog, beef",21.0,290.0,2.5,26.2,0.0,,0.8,1.5,12.1,850.0,,piece_based
Fish and Chips,16.0,232.0,21.2,10.4,1.2,,0.5,0.9,14.5,450.0,,piece_based
Shepherd's Pie,22.0,145.0,12.1,7.2,1.8,,1.5,1.6,9.4,390.0,,piece_based
Buffalo Wings,18.0,288.0,1.0,23.4,0.0,,0.2,1.1,18.2,910.0,,piece_based
"Spaghetti, cooked",7.0,158.0,31.0,0.9,1.8,,0.6,1.3,5.8,1.0,,piece_based
Macaroni and Cheese,142.0,164.0,20.2,6.4,0.6,,1.4,0.6,7.1,385.0,,piece_based
"Egg Noodles, cooked",12.0,138.0,25.0,2.1,1.2,,0.4,1.5,4.5,5.0,,bowl_based
"White Bread, toasted",180.0,293.0,54.4,4.2,2.4,,5.2,3.1,8.8,550.0,,piece_based
Whole Wheat Bread,160.0,247.0,41.2,3.4,7.0,,6.0,2.5,13.0,450.0,,piece_based
Sourdough Bread,52.0,289.0,56.1,1.8,2.4,,2.5,3.6,12.0,610.0,,piece_based
English Muffin,120.0,235.0,45.0,1.8,2.8,,4.2,2.8,8.0,460.0,,piece_based
"Pancake, buttermilk",102.0,227.0,28.2,10.0,1.1,,6.1,1.5,6.4,439.0,,piece_based
"Waffle, plain",155.0,291.0,33.1,14.0,1.2,,8.2,2.2,8.1,511.0,,piece_based
"Bagel, plain",55.0,250.0,49.0,1.5,2.2,,6.2,3.4,10.2,440.0,,piece_based
Hot tea (Garam Chai),14.2,16.14,2.58,0.53,0.0,1.8,2.58,0.02,0.39,3.12,0.5,piece_based
Instant coffee,20.87,23.16,3.65,0.75,0.0,5.6,3.62,0.06,0.64,4.92,1.51,piece_based
Espreso coffee,58.1,51.54,6.62,2.14,0.0,5.53,6.53,0.15,1.75,13.98,1.51,piece_based
Iced tea,1.18,10.34,2.7,0.01,0.0,1.28,2.7,0.02,0.03,0.23,5.95,piece_based
Raw mango drink (Aam panna),7.08,35.92,9.05,0.03,0.61,14.05,7.49,0.14,0.16,79.82,45.3,piece_based
Fruit Punch (with fresh juices),5.07,36.12,9.38,0.03,0.06,24.57,9.25,0.1,0.14,2.63,41.44,piece_based
Fruit Punch (with squashes),3.3,23.13,5.99,0.02,0.17,9.13,5.88,0.06,0.07,2.26,15.08,piece_based
Lemonade,1.84,20.8,5.48,0.01,0.02,2.11,5.47,0.05,0.03,28.52,5.27,piece_based
Lem-o-gin,2.2,21.52,5.55,0.03,0.13,2.92,5.38,0.09,0.08,28.13,5.68,piece_based
